StudentName,Date,Term,Status
Alice Santos,2024-01-10,midterm,present
Alice Santos,2024-01-11,midterm,present
Alice Santos,2024-01-12,midterm,absent
Alice Santos,2024-01-13,midterm,late
Alice Santos,2024-05-10,final,present
Alice Santos,2024-05-11,final,present
Alice Santos,2024-05-12,final,present
Bob Reyes,2024-01-10,midterm,present
Bob Reyes,2024-01-11,midterm,absent
Bob Reyes,2024-01-12,midterm,absent
Bob Reyes,2024-01-13,midterm,excused
Bob Reyes,2024-05-10,final,present
Bob Reyes,2024-05-11,final,late
Bob Reyes,2024-05-12,final,absent
Carla Mendoza,2024-01-10,midterm,present
Carla Mendoza,2024-01-11,midterm,present
Carla Mendoza,2024-01-12,midterm,present
Carla Mendoza,2024-01-13,midterm,present
Carla Mendoza,2024-05-10,final,present
Carla Mendoza,2024-05-11,final,excused
Carla Mendoza,2024-05-12,final,absent
Dan Cruz,2024-01-10,midterm,absent
Dan Cruz,2024-01-11,midterm,absent
Dan Cruz,2024-01-12,midterm,late
Dan Cruz,2024-01-13,midterm,present
Dan Cruz,2024-05-10,final,late
Dan Cruz,2024-05-11,final,present
Dan Cruz,2024-05-12,final,present
